Titre,Ingrédients Clés,Préparation (min),Cuisson (min),Contient viande/poisson ?,URL
"Udon à la crème de curry, champignons & œuf","Nouilles udon, curry, œufs, champignons, crème fraîche",5,7,Non,https://jow.com/fr/recipes/udon-a-la-creme-de-curry-champignons-et-oeuf-8vwibn3c9g0002zo06al
"Wok légumes sautés, poulet & sauce cacahuète","Poulet, carotte, courgette, sauce soja, beurre de cacahuète",10,15,Oui,https://jow.fr/recipes/wok-legumes-sautes-poulet-et-sauce-cacahuete-8ucq30s6h54y7d4e0kyc
Dahl de lentilles corail,"Lentilles corail, tomates concassées, lait de coco, curry",5,25,Non,https://jow.fr/recipes/dahl-de-lentilles-corail-7ve6ie0parb403dj0nsk
Risotto aux poireaux,"Riz arborio, poireaux, bouillon de légumes, parmesan, vin blanc",10,20,Non,https://jow.fr/recipes/risotto-aux-poireaux-82yn9cov5b6q4btu1b7i
Quiche poireaux chèvre lardons,"Pâte, poireaux, chèvre, lardons, œufs, crème",20,40,Oui,https://www.marmiton.org/recettes/recette_quiche-poireaux-chevre-lardons_22275.aspx
Beignets de chou-fleur,"Chou-fleur, farine, œufs, échalotes, épices",35,15,Non,https://www.cuisineaz.com/recettes/beignets-de-chou-fleur-13842.aspx
Farfalles à la ricotta et aux épinards,"Farfalles, épinards, ricotta, crème fraîche",10,10,Non,https://www.cuisineaz.com/recettes/farfalles-a-la-ricotta-et-aux-epinards-77301.aspx
Gratin de pommes de terre et courgettes,"Pommes de terre, courgettes, oignons, crème, gruyère",20,50,Non,https://leschatsgourmets.com/recettes-de-cuisine/plats-principaux/14700-gratin-de-pommes-de-terre-et-courgettes/
Poêlée de chou-fleur et halloumi,"Chou-fleur, halloumi, miel, curry, amandes",15,30,Non,https://www.elle.fr/Elle-a-Table/Recettes-de-cuisine/Poelee-de-chou-fleur-et-halloumi-3923053
"Potée de chou, pommes de terre, carottes et saucisse","Chou, pommes de terre, carottes, saucisses, lardons",30,90,Oui,https://www.cuisineaz.com/recettes/potee-de-chou-pommes-de-terre-carottes-et-saucisse-72477.aspx
Quiche poireaux emmental,"Pâte, poireaux, emmental, œufs, crème",15,35,Non,https://www.biodelices.fr/recette/quiche-poireaux-emmental/
